,provider,region,country,city,impact,name,tdp_watts
0,gcp,asia-east1,Taiwan,Changhua County,557.0,A100 PCIe 40/80GB,250
1,gcp,asia-east1,Taiwan,Changhua County,557.0,A100 SXM4 80 GB,400
2,gcp,asia-east1,Taiwan,Changhua County,557.0,AGX Xavier,30
3,gcp,asia-east1,Taiwan,Changhua County,557.0,AMD RX480,150
4,gcp,asia-east1,Taiwan,Changhua County,557.0,GTX 1080 Ti,250
5,gcp,asia-east1,Taiwan,Changhua County,557.0,GTX 1080,180
6,gcp,asia-east1,Taiwan,Changhua County,557.0,GTX 750,250
7,gcp,asia-east1,Taiwan,Changhua County,557.0,GTX TITAN X,250
8,gcp,asia-east1,Taiwan,Changhua County,557.0,Quadro K6000,225
9,gcp,asia-east1,Taiwan,Changhua County,557.0,Quadro P6000,250
10,gcp,asia-east1,Taiwan,Changhua County,557.0,RTX 2080 Ti,250
11,gcp,asia-east1,Taiwan,Changhua County,557.0,RTX 2080,215
12,gcp,asia-east1,Taiwan,Changhua County,557.0,RTX 8000,260
13,gcp,asia-east1,Taiwan,Changhua County,557.0,T4,70
14,gcp,asia-east1,Taiwan,Changhua County,557.0,Tesla K40c,245
15,gcp,asia-east1,Taiwan,Changhua County,557.0,Tesla K80,300
16,gcp,asia-east1,Taiwan,Changhua County,557.0,Tesla M40 24GB,250
17,gcp,asia-east1,Taiwan,Changhua County,557.0,Tesla P100,250
18,gcp,asia-east1,Taiwan,Changhua County,557.0,Tesla P40,250
19,gcp,asia-east1,Taiwan,Changhua County,557.0,Tesla V100-PCIE-16GB,300
20,gcp,asia-east1,Taiwan,Changhua County,557.0,Tesla V100-SXM2-16GB,250
21,gcp,asia-east1,Taiwan,Changhua County,557.0,Tesla V100-SXM2-32GB,300
22,gcp,asia-east1,Taiwan,Changhua County,557.0,Titan RTX,280
23,gcp,asia-east1,Taiwan,Changhua County,557.0,Titan V,250
24,gcp,asia-east1,Taiwan,Changhua County,557.0,TITAN X Pascal,250
25,gcp,asia-east1,Taiwan,Changhua County,557.0,Titan Xp,250
26,gcp,asia-east1,Taiwan,Changhua County,557.0,TPUv2 Chip,221
27,gcp,asia-east1,Taiwan,Changhua County,557.0,TPUv3 Chip,283
28,gcp,asia-east1,Taiwan,Changhua County,557.0,RTX 3080,320
29,gcp,asia-east1,Taiwan,Changhua County,557.0,RTX 3080 TI,350
30,gcp,asia-east1,Taiwan,Changhua County,557.0,RTX 3090,350
31,gcp,asia-east1,Taiwan,Changhua County,557.0,RTX A6000,300
32,gcp,asia-east1,Taiwan,Changhua County,557.0,Intel Xeon E5-2699,145
33,gcp,asia-east1,Taiwan,Changhua County,557.0,Intel Xeon E5-2630v4,85
34,gcp,asia-east1,Taiwan,Changhua County,557.0,Intel Xeon E5-2650,105
35,gcp,asia-east1,Taiwan,Changhua County,557.0,Intel Xeon Gold 5220,125
36,gcp,asia-east1,Taiwan,Changhua County,557.0,Intel Xeon Gold 6148,150
37,gcp,asia-east1,Taiwan,Changhua County,557.0,AMD EPYC 7763,280
38,gcp,asia-east2,China,Hong Kong,702.0,A100 PCIe 40/80GB,250
39,gcp,asia-east2,China,Hong Kong,702.0,A100 SXM4 80 GB,400
40,gcp,asia-east2,China,Hong Kong,702.0,AGX Xavier,30
41,gcp,asia-east2,China,Hong Kong,702.0,AMD RX480,150
42,gcp,asia-east2,China,Hong Kong,702.0,GTX 1080 Ti,250
43,gcp,asia-east2,China,Hong Kong,702.0,GTX 1080,180
44,gcp,asia-east2,China,Hong Kong,702.0,GTX 750,250
45,gcp,asia-east2,China,Hong Kong,702.0,GTX TITAN X,250
46,gcp,asia-east2,China,Hong Kong,702.0,Quadro K6000,225
47,gcp,asia-east2,China,Hong Kong,702.0,Quadro P6000,250
48,gcp,asia-east2,China,Hong Kong,702.0,RTX 2080 Ti,250
49,gcp,asia-east2,China,Hong Kong,702.0,RTX 2080,215
50,gcp,asia-east2,China,Hong Kong,702.0,RTX 8000,260
51,gcp,asia-east2,China,Hong Kong,702.0,T4,70
52,gcp,asia-east2,China,Hong Kong,702.0,Tesla K40c,245
53,gcp,asia-east2,China,Hong Kong,702.0,Tesla K80,300
54,gcp,asia-east2,China,Hong Kong,702.0,Tesla M40 24GB,250
55,gcp,asia-east2,China,Hong Kong,702.0,Tesla P100,250
56,gcp,asia-east2,China,Hong Kong,702.0,Tesla P40,250
57,gcp,asia-east2,China,Hong Kong,702.0,Tesla V100-PCIE-16GB,300
58,gcp,asia-east2,China,Hong Kong,702.0,Tesla V100-SXM2-16GB,250
59,gcp,asia-east2,China,Hong Kong,702.0,Tesla V100-SXM2-32GB,300
60,gcp,asia-east2,China,Hong Kong,702.0,Titan RTX,280
61,gcp,asia-east2,China,Hong Kong,702.0,Titan V,250
62,gcp,asia-east2,China,Hong Kong,702.0,TITAN X Pascal,250
63,gcp,asia-east2,China,Hong Kong,702.0,Titan Xp,250
64,gcp,asia-east2,China,Hong Kong,702.0,TPUv2 Chip,221
65,gcp,asia-east2,China,Hong Kong,702.0,TPUv3 Chip,283
66,gcp,asia-east2,China,Hong Kong,702.0,RTX 3080,320
67,gcp,asia-east2,China,Hong Kong,702.0,RTX 3080 TI,350
68,gcp,asia-east2,China,Hong Kong,702.0,RTX 3090,350
69,gcp,asia-east2,China,Hong Kong,702.0,RTX A6000,300
70,gcp,asia-east2,China,Hong Kong,702.0,Intel Xeon E5-2699,145
71,gcp,asia-east2,China,Hong Kong,702.0,Intel Xeon E5-2630v4,85
72,gcp,asia-east2,China,Hong Kong,702.0,Intel Xeon E5-2650,105
73,gcp,asia-east2,China,Hong Kong,702.0,Intel Xeon Gold 5220,125
74,gcp,asia-east2,China,Hong Kong,702.0,Intel Xeon Gold 6148,150
75,gcp,asia-east2,China,Hong Kong,702.0,AMD EPYC 7763,280
76,gcp,asia-northeast1,Japan,Tokyo,516.0,A100 PCIe 40/80GB,250
77,gcp,asia-northeast1,Japan,Tokyo,516.0,A100 SXM4 80 GB,400
78,gcp,asia-northeast1,Japan,Tokyo,516.0,AGX Xavier,30
79,gcp,asia-northeast1,Japan,Tokyo,516.0,AMD RX480,150
80,gcp,asia-northeast1,Japan,Tokyo,516.0,GTX 1080 Ti,250
81,gcp,asia-northeast1,Japan,Tokyo,516.0,GTX 1080,180
